,,,,,,Daily Price Report-01-01-2026 to 03-09-2026 for Maharashtra,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,22-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","9,600.00","8,950.00",Rs./Quintal,21-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"8,000.00","9,300.00","8,950.00",Rs./Quintal,20-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,000.00","7,700.00","7,550.00",Rs./Quintal,20-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"8,000.00","9,600.00","9,150.00",Rs./Quintal,19-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,200.00","7,700.00","7,550.00",Rs./Quintal,19-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"8,500.00","9,450.00","9,050.00",Rs./Quintal,18-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,200.00","7,700.00","7,500.00",Rs./Quintal,18-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"8,500.00","9,500.00","9,150.00",Rs./Quintal,15-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,000.00","7,700.00","7,550.00",Rs./Quintal,15-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"8,000.00","9,500.00","9,050.00",Rs./Quintal,14-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,000.00","7,700.00","7,500.00",Rs./Quintal,14-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"8,500.00","9,500.00","9,050.00",Rs./Quintal,13-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,000.00","7,700.00","7,550.00",Rs./Quintal,13-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"8,000.00","9,500.00","8,850.00",Rs./Quintal,12-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,000.00","7,700.00","7,500.00",Rs./Quintal,12-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"8,000.00","9,500.00","9,000.00",Rs./Quintal,11-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,000.00","7,700.00","7,550.00",Rs./Quintal,11-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","9,100.00","8,550.00",Rs./Quintal,07-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,000.00","7,700.00","7,450.00",Rs./Quintal,07-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","9,100.00","8,850.00",Rs./Quintal,06-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,700.00","7,700.00","7,500.00",Rs./Quintal,06-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"8,000.00","9,300.00","8,850.00",Rs./Quintal,05-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,800.00","7,700.00","7,450.00",Rs./Quintal,05-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"8,000.00","9,100.00","8,850.00",Rs./Quintal,04-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,000.00","7,700.00","7,500.00",Rs./Quintal,04-05-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,700.00","8,550.00",Rs./Quintal,29-04-2026
